SMILES,Surfactant_Type,CMC,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,C20,Temp_Celsius,Ref_CMC,Ref_AW_ST_CMC,SubRef_CMC,SubRef_AW_ST_CMC,Ref_Gamma_max,Ref_Pi_CMC,Ref_Area_min,Ref_pC20,Ref_C20
C(=Nc1cc[n+](CCCCCCCCCCCC[n+]2ccc(N=Cc3ccccc3)cc2)cc1)c1ccccc1.[Br-].[Br-],gemini cationic,,,41,,,,,,,,10.1016/j.ces.2022.118208,,10.1007/s11743-013-1478-9,,,,,
C(=Nc1cc[n+](CCCCCC[n+]2ccc(N=Cc3ccccc3)cc2)cc1)c1ccccc1.[Br-].[Br-],gemini cationic,,,47,,,,,,,,10.1016/j.ces.2022.118208,,10.1007/s11743-013-1478-9,,,,,
C(=Nc1cc[n+](CC[n+]2ccc(N=Cc3ccccc3)cc2)cc1)c1ccccc1.[Br-].[Br-],gemini cationic,,,50,,,,,,,,10.1016/j.ces.2022.118208,,10.1007/s11743-013-1478-9,,,,,
C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Br-].[Br-],gemini cationic,0.00079,3.102372909,33.4,0.00000148,1.12,38.6,3.83615488,0.021576406,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,0.00024,3.619788758,31.3,0.0000014,1.19,40.7,4.483081557,0.011298542,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-].[Br-],gemini cationic,0.000031,4.508638306,32.5,0.00000159,1.05,39.5,5.224704706,0.005381949,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,0.00413,2.384049948,43.1,0.00000234,0.72,28.9,2.717154998,0.066062435,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCC.[Br-],cationic,0.00126,2.899629455,42.8,0.00000231,0.72,29.2,3.248434626,0.038834951,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],cationic,0.00084,3.075720714,43.2,0.00000231,0.72,28.8,3.409360443,0.033062339,25,10.1016/j.colsurfa.2013.12.079,10.1016/j.ces.2022.118208,,10.1016/j.colsurfa.2013.12.079,10.1016/j.colsurfa.2013.12.079,,10.1016/j.colsurfa.2013.12.079,calculated,calculated
C=CC(=O)OC(C[N+](C)(C)CCCCCCCCCCCC)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],gemini cationic,,,31.6,,,,,,,,10.1016/j.ces.2022.118208,,10.1007/s11743-010-1211-x,,,,,
C=CC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,,,39.5,,,,,,,,10.1016/j.ces.2022.118208,,10.1080/01932690701688458,,,,,
C=CC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],cationic,,,34,,,,,,,,10.1016/j.ces.2022.118208,,10.1080/01932690701688458,,,,,
C=CC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Br-],cationic,,,33.2,,,,,,,,10.1016/j.ces.2022.118208,,10.1080/01932690701688458,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,non-ionic,4.95450190804791E-05,4.305,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,non-ionic,7.65596606911257E-05,4.116,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,non-ionic,9.7050996724549E-05,4.013,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,non-ionic,0.000130016957803329,3.886,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,non-ionic,0.000149968483550237,3.824,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000209893988362352,3.678,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000250034536169643,3.602,29.8,0.0000029,,42,,,25,10.1021/ci600462d,calculated,10.1021/la950581j,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000279898131963436,3.553,31.8,0.0000026,,40,,,25,10.1021/ci600462d,calculated,10.1021/la950581j,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000299916251898765,3.523,33.3,0.0000025,,38.5,,,25,10.1021/ci600462d,calculated,10.1021/la950581j,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000330369541036815,3.481,34.8,0.0000022,,37,,,25,10.1021/ci600462d,calculated,10.1021/la950581j,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000109900583943252,3.959,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,7.60326276940182E-05,4.119,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CCCCCCCCCc1ccc(OCCOCCO)cc1,non-ionic,0.000419758983991008,3.377,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCO)cc1,non-ionic,0.000469894108605216,3.328,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,non-ionic,0.000500034534976978,3.301,,,,,,,25,10.1021/ci600462d,,10.1021/la950581j,,,,,,
CC(C)(C)OCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,0.00139,2.8569852,44,0.0000011,1.51,28,3.18,0.000662,25,10.1002/9781118228920.ch3,,,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
C[Si](C)(C)O[Si](C)(CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,non-ionic,0.0018,2.744727495,28,0.00000182,0.91,44,5.12,0.00000768,25,10.1002/jsde.12276,10.1002/jsde.12276,,,,10.1002/jsde.12276,10.1002/jsde.12276,10.1002/jsde.12276,10.1002/jsde.12276
C[Si](C)(C)O[Si](C)(O[Si](C)(C)C)O[Si](C)(C)CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,non-ionic,0.0012,2.920818754,25.8,0.00000173,0.96,46.2,4.9,0.0000123,25,10.1002/jsde.12276,10.1002/jsde.12276,,,,10.1002/jsde.12276,10.1002/jsde.12276,10.1002/jsde.12276,10.1002/jsde.12276
CC[Si](CC)(CC)O[Si](C)(CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](CC)(CC)CC,non-ionic,0.0009,3.04575749056068,28.2,0.00000141,1.178,43.8,5.51,0.00000305,25,10.1002/jsde.12276,10.1002/jsde.12276,,,,10.1002/jsde.12276,10.1002/jsde.12276,10.1002/jsde.12276,
C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCO)O[Si](C)(C)C,non-ionic,0.000079,4.102372909,,,,,,,23,10.1002/9781118228920.ch3,,,,,,,,
C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,non-ionic,0.0001,4,,,,,,,23,10.1002/9781118228920.ch3,,,,,,,,
C[Si](C)(C)O[Si](C)(CCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C)(C)C,non-ionic,0.00063,3.200659451,,,,,,,23,10.1002/9781118228920.ch3,,,,,,,,
C[Si](C)(C)O[Si](CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)(O[Si](C)(C)C)O[Si](C)(C)C,non-ionic,0.0007,3.15490196,26.7,0.00000165,1.01,45.3,5.49,0.00000335,25,10.1002/jsde.12276,10.1002/jsde.12276,,,,10.1002/jsde.12276,10.1002/jsde.12276,10.1002/jsde.12276,10.1002/jsde.12276
CC(C)[Si](O[Si](C)(CCSCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O[Si](C(C)C)(C(C)C)C(C)C)(C(C)C)C(C)C,non-ionic,0.0002,3.69897000433602,31.1,0.000000128,1.298,40.9,5.69,0.00000191,25,10.1002/jsde.12276,10.1002/jsde.12276,,,,10.1002/jsde.12276,10.1002/jsde.12276,10.1002/jsde.12276,
CC(C)CCCCCCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,sugar-based non-ionic,0.0053,2.27572413,33.7,0.0000035,0.47,38.27,3.191565187,0.04110748,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1016/j.chemphyslip.2005.01.001,calculated,10.1016/j.chemphyslip.2005.01.001,calculated,calculated
CC(C)CCCC(C)CCO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,sugar-based non-ionic,0.005,2.301029996,39.6,0.0000031,0.52,32.37,3.001673427,0.049703823,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1016/j.chemphyslip.2005.01.001,calculated,10.1016/j.chemphyslip.2005.01.001,calculated,calculated
CC(C)CCCC(C)CCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,0.004,2.397940009,27.7,0.0000044,0.38,44.27,3.365305655,0.034551454,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1016/j.chemphyslip.2005.01.001,calculated,10.1016/j.chemphyslip.2005.01.001,calculated,calculated
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,non-ionic,0.01799,1.744968837,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,non-ionic,0.01698,1.770062314,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CC(C)CCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOP(=O)(O)O)cc1,non-ionic,0.016,1.795880017,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,non-ionic,0.0000933,4.030118356,22.1,0.00000246,0.68,50.4,5.87,0.00000135,25,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,
CC(CO)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCCSCCC[Si](C)(C)C,non-ionic,0.000125,3.903089987,25.2,0.00000278,0.6,47.3,5.69,0.00000203,25,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,10.1021/acs.jpcb.8b10727,
CC(C)COCCOCCOCCOCCOCCOCCO,non-ionic,0.88,0.0555173278498314,35,,,,,,30,10.1007/BF01500880,10.1016/j.ces.2022.118208,,10.1007/BF01500880,,,,,
CCC(CC)COCCOCCOCCOCCOCCOCCO,non-ionic,0.093,1.03151705144607,33.6,,,,,,30,10.1007/BF01500880,10.1016/j.ces.2022.118208,,10.1007/BF01500880,,,,,
CCCC(CCC)COCCOCCOCCOCCOCCOCCO,non-ionic,0.02,1.69897000433602,31.7,,,,,,30,10.1007/BF01500880,10.1016/j.ces.2022.118208,,10.1007/BF01500880,,,,,
CCCCC(CCCC)COCCOCCOCCOCCOCCOCCO,non-ionic,0.00284,2.54668165995296,28.3,,,,,,25,10.1007/BF01500880,10.1007/BF01500880,,,,,,,
CCCCC(CCCC)COCCOCCOCCOCCOCCOCCOCCOCCOCCO,non-ionic,0.00279,2.5543957967264,32.6,,,,,,30,10.1007/BF01500880,10.1016/j.ces.2022.118208,,10.1007/BF01500880,,,,,
CCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,0.025,1.602059991,19,0.00000256,0.66,53,2.731026457,0.065152379,25,10.1021/ci600462d,,10.1016/s0008-6215(01)00077-5,,,,,calculated,calculated
CCCC=NCCC[N+](C)(C)CCCCCCCCCC.[Br-],cationic,0.001589,2.798876103,31.7,0.00000159,1.04,40.1,4.82,0.0000151,25,10.1016/j.jiec.2014.01.020,10.1016/j.ces.2022.118208,,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,
CCCC=NCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],cationic,0.000771,3.112945622,30,0.00000149,1.11,41.79,5.23,0.00000589,25,10.1016/j.jiec.2014.01.020,10.1016/j.ces.2022.118208,,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,
CCCC=NCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Br-],cationic,0.0000841,4.075204004,37.5,0.00000136,1.22,34.29,6,0.000001,25,10.1016/j.jiec.2014.01.020,10.1016/j.ces.2022.118208,,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,10.1016/j.jiec.2014.01.020,
CCCCC(=O)OCC(COC(=O)CCCC)S(=O)(=O)[O-].[Na+],anionic,0.05768,1.238974748,,,,,,,25,10.1021/ci600462d,,,,,,,,
CCCCC(CC)CC(=O)OCC(COC(=O)CC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,0.2173,0.662940274,,,,,,,25,10.1021/ci600462d,,,,,,,,
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,0.0025,2.602059991,,,,,,,25,10.1021/acs.jpcb.1c05264,,10.1002/9781118228920,,,,,,
CCCCCC(=O)CC(=O)NC1CCOC1=O,non-ionic,0.00217,2.663540266,,,,,,,25,10.1021/acs.jpcb.1c05264,,10.1002/9781118228920,,,,,,
CCCCCC(=O)OCC(COC(=O)CCCCC)S(=O)(=O)[O-].[Na+],anionic,0.01524,1.817015033,,,,,,,25,10.1021/ci600462d,,,,,,,,
CCCCCC(CCCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,0.015,1.823908741,25.1,0.00000302,0.55,46.87,3.384116381,0.03390759,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,,calculated,10.5650/jos1956.40.709,calculated,calculated
CCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,0.008974,2.047013935,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,0.08299,1.080974235,,0.00000067,2.48,,,,25,10.1021/ci600462d,,10.1021/j100550a001,,,,10.1081/DIS-120014014,,
CCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,0.005623,2.250031916,,,,,,,25,10.1021/ci600462d,,10.1016/j.theochem.2004.08.039,,,,,,
CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,0.1849,0.733063089,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,0.007,2.15490195998574,19,0.0000025,0.66,,,,27,10.1016/j.jfluchem.2003.08.007,10.1016/j.jfluchem.2003.08.007,,,10.1016/j.jfluchem.2003.08.007,,10.1016/j.jfluchem.2003.08.007,,
CCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,0.0009,3.04575749056068,18,0.0000021,0.8,,,,27,10.1016/j.jfluchem.2003.08.007,10.1016/j.jfluchem.2003.08.007,,,10.1016/j.jfluchem.2003.08.007,,10.1016/j.jfluchem.2003.08.007,,
CCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,0.00008,4.09691001300806,20,0.0000018,0.94,,,,27,10.1016/j.jfluchem.2003.08.007,10.1016/j.jfluchem.2003.08.007,,,10.1016/j.jfluchem.2003.08.007,,10.1016/j.jfluchem.2003.08.007,,
CCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,0.003,2.52287874528034,19,0.0000017,0.99,,,,27,10.1016/j.jfluchem.2003.08.007,10.1016/j.jfluchem.2003.08.007,,,10.1016/j.jfluchem.2003.08.007,,10.1016/j.jfluchem.2003.08.007,,
CCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,0.00034,3.46852108295774,20,0.0000016,1.04,,,,27,10.1016/j.jfluchem.2003.08.007,10.1016/j.jfluchem.2003.08.007,,,10.1016/j.jfluchem.2003.08.007,,10.1016/j.jfluchem.2003.08.007,,
CCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,,,,0.0000016,1.04,,,,27,,,,,10.1016/j.jfluchem.2003.08.007,,10.1016/j.jfluchem.2003.08.007,,
CCCCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,0.0013,2.88605664769316,20,,,,,,27,10.1016/j.jfluchem.2003.08.007,10.1016/j.jfluchem.2003.08.007,,,,,,,
CCCCCCOCCOCCOCCOCCOCCOCCO,non-ionic,0.074,1.13076828,32,0.0000027,0.62,40,2.46,0.00344,25,10.1002/9781118228920.ch3,10.1002/9781118228920.ch5,,,10.1002/9781118228920.ch5,10.1002/9781118228920.ch5,,,
CCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,0.1799,0.744968837,,0.000000847,1.96,,,,25,10.1021/ci600462d,,10.1021/j100550a001,,,,10.1081/DIS-120014014,,
CCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,0.01079,1.966978555,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CCCCCCC(CCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,0.012,1.920818754,26,0.00000308,0.54,45.97,3.399449372,0.033391651,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,,calculated,10.5650/jos1956.40.709,calculated,calculated
CCCCCCC(CCCCC)S(=O)(=O)[O-].[Na+],anionic,0.03614,1.442011852,,,,,,,25,10.1021/ci600462d,,,,,,,,
CCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,0.0026,2.585026652,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,0.01932,1.713992878,,0.000000439,3.78,,,,25,10.1021/ci600462d,,10.1016/j.theochem.2004.08.039,,,,10.1081/DIS-120014014,,
CCCCCCCC(CCCCCC)SCCC(=O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,sugar-based non-ionic,0.0000063,5.200659451,28.5,0.0000053,0.31,43.47,5.977316084,0.002535623,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1016/j.carres.2013.07.003,calculated,,calculated,calculated
CCCCCCC1(CCCCCC)OCC(C[N+](C)(C)C)O1.[Br-],cationic,0.00871,2.059981845,29.2,0.00000198,0.84,42.6,3.068483753,0.046491594,25,10.1016/0927-7757(95)03093-S,10.1016/j.ces.2022.118208,,10.1016/0927-7757(95)03093-S,10.1016/0927-7757(95)03093-S,10.1016/0927-7757(95)03093-S,10.1016/0927-7757(95)03093-S,calculated,calculated
CCCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,0.045,1.346787486,,,,,,,25,10.1021/acs.iecr.6b02890,,10.1016/j.molliq.2018.01.037,,,,,,
CCCCCCCC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,0.07,1.15490196,,,,,,,25,10.1021/acs.iecr.6b02890,,10.1016/j.molliq.2018.01.037,,,,,,
CCCCCCCC(=O)N(C)C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,sugar-based non-ionic,0.069,1.161150909,,,,,,,25,10.1021/acs.iecr.6b02890,,10.1016/j.molliq.2018.01.037,,,,,,
CCCCCCCC(CC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,sugar-based non-ionic,0.0085,2.070581074,27,0.00000313,0.53,44.97,3.469629459,0.031128563,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,,calculated,10.5650/jos1956.40.709,calculated,calculated
CCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,0.00631,2.199970641,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,0.003981,2.400007822,,,,,,,25,10.1021/ci600462d,,10.1016/j.theochem.2004.08.039,,,,,,
CCCCCCCC(CCCC)S(=O)(=O)[O-].[Na+],anionic,0.02831,1.548060131,,,,,,,25,10.1021/ci600462d,,,,,,,,
CCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,0.005012,2.299988938,,,,,,,25,10.1021/ci600462d,,10.1016/j.theochem.2004.08.039,,,,,,
CCCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,0.009705,2.01300446,,0.000000555,2.99,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,10.1081/DIS-120014014,,
CCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,0.002512,2.599980365,,,,,,,25,10.1021/ci600462d,,10.1016/j.theochem.2004.08.039,,,,,,
CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],anionic,0.002799,2.552997102,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,0.001722,2.763966853,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CCCCCCCC(CCCCCCC)S(=O)(=O)[O-].[Na+],anionic,0.007178,2.143996546,,,,,,,25,10.1021/ci600462d,,,,,,,,
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,0.07178,1.143996546,,,,,,,25,10.1021/ci600462d,,10.1006/jcis.1996.4680,,,,,,
CCCCCCCC(O)CO,non-ionic,0.0049,2.30980392,26.7,0.0000052,0.32,45.27,3.162028863,0.042339752,25,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1021/j150575a003,calculated,10.1021/j150575a003,calculated,calculated
CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,sugar-based non-ionic,0.000032,4.494850022,34.8,0.00000384,0.43,38,5.4,0.00000398,20,10.1021/acs.iecr.6b02890,10.1016/j.jcis.2018.01.051,10.1016/j.molliq.2018.01.037,,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,10.1006/jcis.2001.7704,
